Book	Smell_Word	Smell_Source	Quality	Odour_Carrier	Evoked_Odorant	Location	Perceiver	Time	Circumstances	Effect
abc2000	smell									makes him vomit|that stays in with him
abc2000	smell	his own sweat|bile					he			
abc2002	obnoxious|obnoxious		obnoxious|obnoxious							
abc2002	smell	shrimp chips|of the crustacean - flavored snacks					his			and he suddenly felt nauseous
abc2002	nauseous|nauseous		really nauseous|nauseous							
abc2002	stinking|stinking	tuna	stinking|stinking							
abc2006	scent	Carved|full of dried rose petals	faint pleasant rose	the air						
abc2006	smelling	of stale smoke				the palace|it		for days		
abc2006	smell	of leaves|of lemon|small yellow blossoms	light							
abc2006	smell	it	quite pleasant							
abc2006	smell	the smoke	quite nice				Tony			
abc2006	sniff|perfume|perfume|perfume				perfume|perfume from his childhood		He|him			
abc2006	scent|scent|stink	of Maria ' s favourite|favourite perfume|Howard '	sweet floral|favourite|favourite|overpowering			in her boudoir				
abc2006	cologne|cologne|cologne	Howard|s	musky|potent		kind of old man cologne|cologne		He			
abc2006	smelled whiffs|perfume|perfume|scent		light rose|practical|pleasant|sweet		of Ana Jarvis ' s perfume|perfume					
abc2006	smelled	Jarvis ' s cologne	woodsy		like the English countryside		He			
abc2006	smelling	of Edwin ' s favourite Earl Grey tea								
abc2006	sniff	a|of|s favourite Italian roasted coffee								
abc2006	smelling|smelling	smoke	sweet - smelling|smelling							
abc2006	sniffs		pitiful							
abc2006	smell									brush against hypersensitive nerves
abc2006	smelly|smelly	sticks|sticky forehead juice	nice smelly|smelly			in Helheim				
abc2011	smelled		faintly	The|the whipping|air	of peach blossoms					
abc2011	scent	of peach blossoms				over the walls|into the regal compound			as	
abc2011	aroma		fruity|utterly unlike						The tea poured into her cup	
abc2017	smell	monsters|other demigods				from a distance	satyrs			
abc2019	breath|smell|scent	of lavender soap	fading|all too familiar				he			
abc2027	scent		flowery							
abc2031	scent	of its smoke					her			
abc2031	scent				of summer wine and ripe figs		him			
abc2033	smelled	Thanatos|of lavender								
abc2033	smell	that lavender smoke					He			
abc2033	sludge		sick							
abc2033	stench						Thanatos			
abc2033	smelled	smoke					he			cracked open his eyes
abc2033	smelled	the smoke		on			he			
abc2033	smell	of sweat|sex|wine								
abc2033	smell	that lavender				into the room	he			
abc2033	smell	of smoke								
abc2033	smelled	it			like Zagreus					
abc2033	smelled	smoke|lavender					He|his|he			closed his eyes tightly
