,Book,Smell_Word,Smell_Source,Quality,Odour_Carrier,Evoked_Odorant,Location,Perceiver,Time,Circumstances,Effect
0,abc2002,obnoxious|obnoxious,,obnoxious|obnoxious,,,,,,,
1,abc2002,smell,shrimp chips|of the crustacean - flavored snacks,,,,,his,,,and he suddenly felt nauseous
2,abc2002,nauseous|nauseous,,really nauseous|nauseous,,,,,,,
3,abc2002,stinking|stinking,tuna,stinking|stinking,,,,,,,
4,abc2006,smell,of leaves|of lemon|small yellow blossoms,light,,,,,,,
5,abc2006,scent|scent|stink,of Maria ' s favourite|favourite perfume|Howard ',sweet floral|favourite|favourite|overpowering,,,in her boudoir,,,,
6,abc2006,sniff,a|of|s favourite Italian roasted coffee,,,,,,,,
7,abc2006,smelling|smelling,smoke,sweet - smelling|smelling,,,,,,,
8,abc2011,aroma,,fruity|utterly unlike,,,,,,The tea poured into her cup,
9,abc2017,smell,monsters|other demigods,,,,from a distance,satyrs,,,
10,abc2019,breath|smell|scent,of lavender soap,fading|all too familiar,,,,he,,,
11,abc2031,scent,of its smoke,,,,,her,,,
12,abc2033,smell,of sweat|sex|wine,,,,,,,,
13,abc2033,smell,that lavender,,,,into the room,he,,,
14,abc2033,smelled,it,,,like Zagreus,,,,,
15,abc2034,scent,the young girl ' s,sweet,,,,,,,
16,abc2034,scent|breath,her|Medea ',,,,,,,,
17,abc2034,scent,Medea ',,,,,,,when she was cocooned in her sheets,
18,abc2043,scented|scented,,sweet|salty|scented|scented,,,,,,,
19,abc2044,smell|scent,glrb ' s antennae|her|glands,sweet,,,,,,,
20,abc2045,perfume,Hera,,,,,,,,
21,abc2045,scented|scented,,scented|scented,,,,,,,
22,abc2045,perfume,Aphrodite|paint,,,,,,,,
23,abc2046,stench,of fermented corn,ripe,,,,,,,
24,abc2049,scents|nostrils,of sweat|woodsmoke|roasted flesh,comingled|thick,the,,in many braziers,She|in her,,,
25,abc2049,scented|scented,,sweet - scented|scented,into,,,,,,
26,abc2051,putrid|putrid|putrid|putrid,,putrid|putrid|putrid|putrid,those drapes,,,He,,,
27,abc2051,smell,of wet ghost,really rank,,,in here,,,,
28,abc2051,reeked,it,,,of heather,,,,,
29,abc2051,smell,it,the sweetest,,,,,,,
30,abc2051,smelled,It|of|of,,,of|of heather,,,,,
31,abc2051,smell,of death,,,,,,,,
32,abc2051,smell,mold,,,,,He|he,,,
33,abc2051,smell,,stronger,,,,,,,
34,abc2051,smell,of rot,,,,,him,,,
35,abc2051,smell,it,,,like wet dog,in here,he,,,
36,abc2051,smell|smell,the viking|funeral pyre|death,,,,,I,,,
37,abc2067,smelled,the|the,,the|the air,like grenades,,,,,
38,abc2067,smell,that,,,like patchoulli incense,Karkat ' s house,,at all hours,,
39,abc2067,reeks,this|this|of patchoulli|overflowing trashcans full of used pussy rags,,,,this|this house|in the bathroom,,,,
40,abc2069,smell,anything,,,,,,,,
41,abc2073,smelling|smelling,oils|creams,sweet - smelling|smelling,,,,,,,
42,abc2073,fragrant|fragrant,garlic|herbs,fragrant|fragrant,,,,,,,
43,abc2073,smell,of rotten meat,,,,,Psyche,,,making her stomach roil
44,abc2074,smelled,Briseis,better,,,,,sometimes,,
45,abc2086,scent|breath,of myrtle and roses,sweet,in the air,,,,,,
46,abc2087,smell,it,,,like hot - floral - cat - in - heat,,,for the rest of its existence,,
47,abc2089,nose smells,neck,,,,,I|her,,,
48,abc2096,smells,She,,,like oranges and roses,,,,when happy or excited,
49,abc2096,smelt|perfume,the bed|her,,,like,in our chambers,,The first month,,
50,abc2096,smell,her,,,,,,,,
51,abc2096,smelled,she,,,,,I,For the first few days,,
52,abc2103,smell,,,,,,I,,,
53,abc2110,scent,her,deep,,,,,,,
54,abc2110,scent,the child ' s|milk,sweet|strong,,,,,,,
55,abc2110,scent,her baby,,,,,She,,,
56,abc2110,scent,the musky earth,,,,,She,,,
57,abc2113,sniffing,,,the air,,,,,,
58,abc2121,smell,of forest and lake water|dry leaves|permafrost,,,,,Apollo,,,
59,abc2132,inhaled|scent,her,,,,,He,,,
60,abc2132,fragrant|fragrant,brew,fragrant|fragrant,,,,,,,
61,abc2132,inhaled|scent,of cherries|of vanilla,,the mug,,,,,,
62,abc2132,smell|scent,of cherries,sweet,,,,She,,,
63,abc2132,inhaled|scent,her,soft,,,,He,,,
64,abc2139,smell,of water droplets|of rainwater,,,,from the stalactites on the ceiling|the area around,,,,
65,abc2139,smell,It,poisoned,,,,,,,
66,abc2139,smelled|perfume,she|warmth,,,,,,,,
67,abc2145,smelled,the|the wind|wind,wrong,the|the wind|wind,,,him,for,,
68,abc2145,stench,of too many people living,,the wind,,,,for too long,,
69,abc2145,sniffing,,,,,,Odysseus,,,
70,abc2146,smell,New,awful,,,,,,,
71,abc2146,smelled,trees,,,like amazing food,,,,,
72,abc2146,smells,This|Viperine,,,like,,,,,
73,abc2146,smelled,Medusa,,,,,,,,
74,abc2146,smell,this,,,,,you,,,
75,abc2150,smell,the brine of the sea,,,,,he,,,
76,abc2150,scent,of sweat|something,sweet,,,,he,,,
77,abc2150,smell|perfume,her,sweet,,,,around his,,,
78,abc2150,scent,his,,,,,Achilles,,,
79,abc2152,smell,of it,sweet|full,,,,to her,,,
80,abc2153,scent,Aphrodite|rose,sweet,,,,,,,scouring away the inhibitions that had held Menelaos back
81,abc2158,fragrance,,celestial,,,,,,,
82,abc2160,smells,,,,like Louisiana,into the apartment|in here,,,,
83,abc2160,smell,of sulfur,sickly orange|strong|way stronger,the air,as if there was a fire nearby|than any demon residue,,He,,,
84,abc2163,smell,of wax,,,,through the workshop,,,,
85,abc2164,perfume,the flower ' s,,,,,Her|she,,,
86,abc2164,scent,of his cologne,intoxicating,,,,,,,
87,abc2171,scent,She|of her|sunshine,delicious,,something,,,,,
88,abc2171,fragrant|fragrant,,fragrant|fragrant,,,,,,,
89,abc2171,scented|scented|it,,scented|scented|so soothing,the warm,,,,,,that she had to fight to keep from drifting off to sleep
