,Book,Smell_Word,Smell_Source,Quality,Odour_Carrier,Evoked_Odorant,Location,Perceiver,Time,Circumstances,Effect
0,abc2000,smell,,,,,,,,,makes him vomit|that stays in with him
1,abc2000,smell,his own sweat|bile,,,,,he,,,
2,abc2002,obnoxious|obnoxious,,obnoxious|obnoxious,,,,,,,
3,abc2002,nauseous|nauseous,,really nauseous|nauseous,,,,,,,
4,abc2002,stinking|stinking,tuna,stinking|stinking,,,,,,,
5,abc2006,smell,of leaves|of lemon|small yellow blossoms,light,,,,,,,
6,abc2006,smell,the smoke,quite nice,,,,Tony,,,
7,abc2006,sniff|perfume|perfume|perfume,,,,perfume|perfume from his childhood,,He|him,,,
8,abc2006,cologne|cologne|cologne,Howard|s,musky|potent,,kind of old man cologne|cologne,,He,,,
9,abc2006,smelled whiffs|perfume|perfume|scent,,light rose|practical|pleasant|sweet,,of Ana Jarvis ' s perfume|perfume,,,,,
10,abc2006,sniff,a|of|s favourite Italian roasted coffee,,,,,,,,
11,abc2006,smelling|smelling,smoke,sweet - smelling|smelling,,,,,,,
12,abc2006,sniffs,,pitiful,,,,,,,
13,abc2006,smelly|smelly,sticks|sticky forehead juice,nice smelly|smelly,,,in Helheim,,,,
14,abc2017,smell,monsters|other demigods,,,,from a distance,satyrs,,,
15,abc2019,breath|smell|scent,of lavender soap,fading|all too familiar,,,,he,,,
16,abc2031,scent,,,,of summer wine and ripe figs,,him,,,
17,abc2033,smelled,Thanatos|of lavender,,,,,,,,
18,abc2033,smell,that lavender smoke,,,,,He,,,
19,abc2033,stench,,,,,,Thanatos,,,
20,abc2033,smelled,smoke,,,,,he,,,cracked open his eyes
21,abc2033,smelled,the smoke,,on,,,he,,,
22,abc2033,smell,that lavender,,,,into the room,he,,,
23,abc2033,smell,of smoke,,,,,,,,
24,abc2033,smelled,it,,,like Zagreus,,,,,
25,abc2039,smell|perfume,,too strong,,,,Apollo,,,
26,abc2045,perfume,Hera,,,,,,,,
27,abc2049,scented|scented,,sweet - scented|scented,into,,,,,,
28,abc2051,smelled,He|he|of brimstone,,,like something Hades ' s had,,,,,
29,abc2051,smell,of the flowers of the dead,,,,,him,as he,,
30,abc2051,smell,it,the sweetest,,,,,,,
31,abc2051,sniff,it,,,,,,,,
32,abc2051,smell,wood,,,,,him,,,
33,abc2051,smell,of rot,,,,,him,,,
34,abc2051,smell,of his Uncle death,,,,,,,,
35,abc2051,smell,of death,,,,,,,,
36,abc2067,smelling,of lotus flowers,,,,,,,,
37,abc2067,stinking|stinking,Cronus|filthy robes,horrible stinking|stinking,,,,,,,
38,abc2069,smell,anything,,,,,,,,
39,abc2073,smelled,of sweet strawberries,,,,,,,,
40,abc2074,smelled,Briseis,better,,,,,sometimes,,
41,abc2074,smelled,Achilles,,,like expensive cologne,,,now,,
42,abc2082,scent,,fruity,,,,he,,,
43,abc2089,smell,of blood and death,,,,,him,,when he kept provoking wars in the mortal realm,
44,abc2096,smell,her,,,,,,,,
45,abc2110,fragrant|fragrant,Thanatos,fragrant|fragrant,,,,,,,
46,abc2121,smell,of forest and lake water|dry leaves|permafrost,,,,,Apollo,,,
47,abc2145,smelled,the|the wind|wind,wrong,the|the wind|wind,,,him,for,,
48,abc2145,smelled,the|the wind|wind,,the|the wind|wind,like it did in Ithaka,,He,,,
49,abc2145,scent,of wine,rich,,,on the altars,,,,
50,abc2145,smell,the carrion,,the sand,,,,,,
51,abc2145,sniffing,,,,,,Odysseus,,,
52,abc2146,smell,this,,,,,you,,,
53,abc2150,smell,the brine of the sea,,,,,he,,,
54,abc2150,smell,the sea salt,,,,,Patroclus,,,
55,abc2150,smell,a cup of wine,,,,from a nearby table,Patroclus,,,to dissipate
56,abc2150,scent,of iron,heavy,,,,him,,,
57,abc2150,scented|scented,streaming water,scented|scented,,,,him,,,
58,abc2150,scented|scented,oils,scented|scented,,,,,,,
59,abc2150,scent,of fresh blood,heavy,,,,,,,made him a bit nauseous
60,abc2150,smell,Patroclus|of metallic,heavy,,,,him,,,
61,abc2150,scent,of blood,too much,,,,,,,
62,abc2150,scent,his,,,,,Achilles,,,
63,abc2150,scent,of metal,heavy,,,,him,when he entered,,
64,abc2153,scent,Aphrodite|rose,sweet,,,,,,,scouring away the inhibitions that had held Menelaos back
65,abc2160,smells,,,,like Louisiana,into the apartment|in here,,,,
66,abc2160,smelled,a|a self - righteous ball of glowing fluff,,,a|a,,I|I,,,
67,abc2160,smelled,a|a primordial piece of shit,,,a|a,,I|I,,,
68,abc2163,smell,of burning wax,,the air,,,he,,,
69,abc2163,smell,of burning wax,,,,the room,,,,
70,abc2163,smell,of wax,,,,through the workshop,,,,
71,abc2163,smell,of wax,,,,,his,,,
72,abc2163,smells|smell,It,,,like burning wax,,Icarus,,,
73,abc2163,smell,of wax,,the air,,,,,,
74,abc2165,scent,it,,,,,,,before it is curled,
75,abc2165,scented|scented,oils,scented|scented,they,,,,,,
76,abc2171,scent,of arousal,,in the air,,,,,,
77,abc2171,scent,of her hair,sweet almond,,,,,,,
78,abc2171,fragrant|fragrant,hair,fragrant|fragrant,,,,,,,
79,abc2171,scent,her,fresh|delectable,,,,,,,
80,abc2171,scented|scented,hair,sweet|scented|scented,,,,,,,
81,abc2171,scent,her,sweet,,,,,,,causing the air to seem dull and not
82,abc2171,Reek|Reek,Reek|Reek,,,,,Gendry,,,
83,abc2174,scent|smell,,familiar,,,,,,,"making every muscle in his body untense , his nerves unwired"
84,abc2174,aromas,of food|their ingredients,,,,,him|him,,,make him|him nauseous
85,abc2174,smelling|smelling|smelling,,sweet|sweet|smelling|smelling|smelling,Colored umbrellas,sweet|sweet - smelling|smelling|smelling tiki drinks,,,,,
86,abc2174,smell,It,,,,,,,,taking him back to weekdays
87,abc2174,smell,cigarette smoke,,,,Outside,he,,,
88,abc2174,stench,of the gutter,,,,,him,,as,
89,abc2174,smelled,blood,,,,,he,,,
90,abc2174,smell,of floor cleaner,,,,,,,,has really won me over
91,abc2174,stench,of the gutter,,,,,him,,,
92,abc2174,scented,the flowers in,so sweetly,the air,,,,,,
93,abc2191,smelled,it,,,like,,,,,
94,abc2191,smell,of old decay,faint,,,,,,,
95,abc2191,stinking|stinking,of unwashed bodies|pig filth,stinking|stinking,,,,him,,,
96,abc2191,smell,of old leather and oak,,,,His ostentatious room,,,,
97,abc2191,smell,of the other boy ' s lunch,,,,,,,,making him feel nauseous
98,abc2191,nose|smelled,it|of him,strongly,the blanket,,,,,,
99,abc2191,smell,sulphur|rotting flesh,unspeakable,,,,,,,"and Thor fell to his knees , retching"
100,abc2191,scent,of her nape,,,,,,,,
101,abc2191,smell|smell,her|her,,,,in|in Utgard castle,He,,,brought him back to his desperation in|in
102,abc2191,scent,,,,that reminded|of cut grass and water purifier,,he,,,
103,abc2191,scent|smelled,of eggs and melted cheese|it,greasy enough,,,,,,,that it made him both nauseous and hungry
104,abc2191,stinking|stinking,Mimir|witchcraft,stinking|stinking,,,,,,,
105,abc2191,smelled,the broth,thick|savoury,,like it had been concentrated for|for days|days,,,for|for days|days,,
106,abc2191,smell,of the sewer|death,,,,,,,,
107,abc2191,scent,of jasmine|hyacinth,blended,,,,,,,
108,abc2191,stink,I,,,,,,,,
109,abc2191,stank,,,,of wet dog and fish,in the back allies and catacombs of,,,,
110,abc2191,stank,he|of|of,,,of|of brine,,,,,
111,abc2191,smelled,She,,,like her garden,,,,,the feeling of home settled inside him
112,abc2191,smell,,salty,,,,him,,,
113,abc2191,stank,Zeke|he|of|of cigarette|cigarette smoke|smoke,,,of|of cigarette|cigarette smoke|smoke,,,,,
114,abc2192,smell,death,,,,,,,,
115,abc2194,scent,his|rags,pungent,,,,Dionysos,,,
116,abc2194,scent,of the liniment,so compelling,,,,Charon|he,,,
117,abc2194,intoxicating|intoxicating,,intoxicating|intoxicating,,,,,,,
118,abc2202,scent,of roses,,,,,him,,,
119,abc2202,sniffing,the cake,,,,,,,,
120,abc2203,scent,,powerful|thick,,,,,,,
121,abc2203,smell,,,,,,Griffin|his,,,
122,abc2203,scent,It|its,intense,,,,,,,
123,abc2203,scent,its,,,,,him,,,
124,abc2210,smell,,perfumed,,,,she|she,,,she|she commences a coughing fit
125,abc2215,perfume,her,,,,,his,,,
126,abc2230,smelling,damp earth|rain,Narcissus,,,,he,most nights,,
127,abc2230,stink,,,,,,,,,makes him gag
128,abc2235,sniffing,,,,,,,occasionally,,
129,abc2235,smell,rage,,,,,I,,,
130,abc2235,smell,of it,,,,,,,,
131,abc2235,sniff,,,the air,,,,,,
132,abc2235,smell,,,,,in the room,Arthur|Arthur|he|he,,,Arthur|Arthur thought he|he would suffocate
133,abc2236,scented|scented,lavender -|grapefruit,scented|scented,fluffy white towels,,,,,,
134,abc2243,scent,of|of the interior,salty,,like the wind on the shore at Montauk,of|of,I,,,
135,abc2243,Smelly|Smelly|Smelly,Smelly|Smelly|Smelly Gabe,Smelly|Smelly|Smelly,,,,I,,,
136,abc2247,smell|sulfurous|sulfurous|breath,it|its,sulfurous|sulfurous|sibilant,the,,,He,,,raising goosebumps
137,abc2247,scent,of honeysuckle and roses,,the air,,,,,,
138,abc2248,smelling|stench,of sweat|of death,unmistakable,,,,Achilles|Hector,,,
139,abc2252,smell,It,soothing,,,,,,,that made him feel at home
140,abc2259,scent,of something sickly|sickly sweet,sickly|sickly,the air,,,,,,leaving her a little breathless
141,abc2268,smells,the sex,,,,,he,,,
142,abc2269,reeking,Iapetus,sickening,,,,,,,
143,abc2277,smell,Achilles ' chosen laundry detergent,,,,,he|his,,When,
