,Smell_Word,Smell_Source,Quality,Odour_Carrier,Evoked_Odorant,Location,Perceiver,Time,Circumstances,Effect
0,smell,monsters|other demigods,,,,from a distance,satyrs,,,
1,,,,,,,,,,
2,smell,,,,,,his,,dulled with every particle - filled exhalation,
3,scent,,fruity,,,,he,,,
4,smell,Aziraphale|Vice,very differently,,,,,,when,
5,scent,,similar,,,,Aziraphale|he,,,
6,smell,of the soil and plants,,,,,him|him,,,remind him|him of his heart ' s desire
7,smelt,Vice,,,,,,,,
8,smell,of her rose body wash,,the soft fabric of her jumper,,,Hastur,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,stinking,of wine,,,,,He,,,
12,scent,of fear,,,,the room,,,,
13,reeking,of blood,,,,,,,,
14,smells,of meat being cooked,,,,,,,,
15,stench,of burnt blood,,,,,him|him,,,made him|him gag a little .
16,scenting|scenting,saltwater,scenting|scenting,,,,Patroclus,,,
17,scent,of blood,cloying|heavy,,,the tent,he,,,with a touch of death that hung over everything .
18,smell,of food|the laughter,,,,,Achilles,,,
19,reeked,he|of sweat,,,,,Achilles,,,
20,scent,of blood,acrid,the air,,,,,,
21,smell,of freshly cooked meat,,,,the tent,,,,
22,smell,nothing burning,,,,,He,,,
23,scent,of iron,heavier,,,,,,,
24,smelled,the meat,too wonderful,,,,,,,for his grumbling stomach to ignore
25,scent,its,cloying metallic,the air,,,,,,
26,smelling,of blood and guts|Patroclus,,,,,him|him,,,
27,reeking,of Death,,,,,him,,,
28,scent,of blood and death,cloying,,,,,,,
29,scent,of blood and scorched earth,faint lingering,,,,Patroclus|he,,,
30,smell,,,,,,his|he,,,that promised a warm and hearty meal
31,Smells,,good,,,,he,,,
32,breath|reeked,of|of,foul,,of|of,,,,,
33,smell,,,,,,His,,,
34,scent,his|rosemary|sage,familiar,,,,,,,
35,scent,of safety,,,,,,,,
36,reeked|scents,of rot,other foul,,,The medical tent,,,,
37,scent,of burning flesh,too familiar,the,,,,,,
38,smell|scent,of bodies being burned,acrid,,,,,,,
39,cloying|cloying,of blood,cloying|cloying richness,,,,his,,,
40,Inhaling|scent,,sweet,,,,,,,
41,smell,Alex,,,,,,,when he carried,
42,smell|scent,of sweat|of blood and wet bile,thick coppery,,,,,,,
43,smelling,of herbs,,a cloth,,,he|Machon|to his,,,
44,scent,of dark smoke|of metal,,in the air,,,He,,,
45,smell|smelling,of food,rich|hearty,,,,him,sometime later,,
46,scent,of blood,,,,,,,,had him gagging
47,smell|reeked,of it|it,fresh,,of,,,,,
48,smell,of smoke,,,,,,,,
49,smell,of smoke,,,,,they,In the haze of morning,,
50,scent,of old blood,,to the armor,,,,,no matter how it was scrubbed and polished,
51,reeking,Crimson|of decay,,,,,him,,,
52,smell,the corpse of|of rot,,in a shroud,,,,,,
53,stench,of rot and metal,,,,,,,,
54,smell,of charring fleshing|screams|ash,,The wind,,,,,,
55,smell,of blood,coppery,,,from his papa ' s burning pyre,,,,
56,scent,of death,,,,,,,,
57,smell,of smoke,so much worse,,,,his,,,
58,scent,of blood and sex,heavy,in the air,,,Achilles,,,
59,inhaled|scent,of sandalwood|a hint of pomegranate,,,,,his,,,
60,scent,their,sweet,The breeze,,,,,,
61,smelled,this|Mint,faint,,,,Patroclus,,,
62,smelled,Patroclus,soft,,,,,,,
63,smelled,it,wonderful,,,,,,,
64,scent,his,soft,,,,Achilles,,,
65,smell,of salt,overpowering,,,,,,,
66,smell,of baking,alluring,,,,,,,made it too easy to sink into sleep
67,smell,,sugary,,,,he,,,
68,,,,,,,,,,
69,smells,she,human,,,,,,,"often causing confusion , and at times hostility"
70,perfume,her,,,,,,,,makes Artemis ' head spin
71,scent,her other half ' s,,,,,,,,to her disappointment
72,,,,,,,,,,
73,,,,,,,,,,
74,smelled,Patroclus,so soft,,,,,,,he couldn ' t help but hold him a little tighter
75,smelling,of the sea,,,,,him,,,
76,scent,of it,,,,,,,When he lay next to,
77,scent,of their soap|sage|rosemary,,,,,Achilles,,,
78,scent,his,,,,,Achilles,,,
79,smelled|aroma,of dinner,,,,,they,The,,
80,spicy|spicy,,spicy|spicy,,,,,,,
81,smelled,It,,,like,,,,,
82,scent,his,,,,,Achilles,,,
83,smelled,he,,,like sex,,,,,
84,smell,,briny,,of,,,,,
85,scent,of metal,,,,Entering their cave,he,,,
86,smelled,blood,,,,,Achilles|He|to his sight,,,
87,scent,it,very,,,,,,,made him sick
